公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
钛马车联网,java开发工程师,8k-15k,"移动互联网,数据服务 B轮 150-500人",经验3-5年 本科,“车联网”,Java ,[南关区]
东方国信,Java工程师（应届）（EPM6lm）,6k-12k·14薪,数据服务 上市公司 2000人以上,经验应届毕业生 本科,“13薪、年终奖、带薪年假、定期体检”,Java ,[高新开发区]
创建科技,java开发工程师,5k-10k,"移动互联网,企业服务 未融资 150-500人",经验3-5年 大专,“五险一金、双休、餐补、体检、生日福利”,移动互联网 本地生活 后端 服务器端 客户端 平台 ,[东南湖大路]
奥格智能,java开发工程师,8k-15k,其他 不需要融资 500-2000人,经验1-3年 本科,“六险一金，双休，年度体检，业务提成”,地图 J2EE ,[东南湖大路]
久远银海,Java开发工程师,4k-8k,"移动互联网,硬件 上市公司 2000人以上",经验1-3年 本科,“带薪休假，年底奖金”,Java ,[南关区]
一汽-大众,后端开发工程师(Java),20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,汽车 后端 Java ,[汽车产业开发区]
派拉软件,Java开发工程师,6k-12k,数据服务 C轮 150-500人,经验1-3年 本科,“法定节假日正常休息，五险一金，双休，”,Java ,[高新开发区]
易联众民生（厦门）科技有限公司,java开发工程师,7k-11k·13薪,"移动互联网,企业服务 上市公司 150-500人",经验不限 本科,“五险一金 年底奖金 行业发展”,Java ,[南关区]
东晟科技,java开发工程师,15k-30k·13薪,"汽车丨出行,软件开发 不需要融资 50-150人",经验不限 本科,“待遇好，平台大”,Java ,[九台市]
思特奇Si-tech,Java开发工程师,6k-12k,数据服务 上市公司 2000人以上,经验不限 本科,“七险一金、年度旅游、培养计划、职业发展等”,信息安全 移动互联网 ,[高新开发区]
北京云族佳科技,Java开发工程师（长春）,8k-12k,"移动互联网,人工智能 B轮 50-150人",经验3-5年 本科,“五险一金 带薪年假 节假日福利”,汽车 ,[绿园区]
橡东信息,java中级开发工程师,10k-15k,"人工智能,软件开发 未融资 150-500人",经验3-5年 大专,“全勤奖，交通补助，公司重点项目，大牛带路”,Shell ,[朝阳区]
锦华众联,Java后台开发工程师,6k-12k,软件开发 A轮 15-50人,经验3-5年 本科,“五险一金、绩效奖金、福利补助”,分布式 docker MySQL Linux/Unix ,[朝阳区]
神州信息,java开发工程师,8k-12k,金融 上市公司 2000人以上,经验3-5年 本科,“专业培训，发展空间大，通讯补贴，五险一金”,互联网金融 银行 后端 分布式 Java SOA ,[南关区]
福建八萃,java开发工程师,8k-10k,"移动互联网,企业服务 未融资 150-500人",经验3-5年 大专,“周末双休、五险一金、年终奖”,J2EE 后端 Java Javascript ,[永昌]
思特奇Si-tech,java/c/c++实习生（可转正）,6k-10k,数据服务 上市公司 2000人以上,经验应届毕业生 本科,“补助津帖、带薪年假、健康管理、员工俱乐部”,工具软件 通信/网络设备 Linux/Unix 后端 C Java ,[高新开发区]
吉林省体思奇健康科技有限公司,高级java,6k-12k,消费生活 不需要融资 15-50人,经验5-10年 本科,“五险一金 带薪年假 免费健身 免费午餐”,大数据 本地生活 Java ,[南关区]
北京博林佳润商贸有限公司,JAVA工程师_长春,7k-9k,消费生活 上市公司 2000人以上,经验3-5年 大专,“五险一金、周末双休、项目奖金”,移动互联网 服务器端 J2EE 分布式 后端 ,[高新开发区]
北京博林佳润商贸有限公司,高级java工程师_长春,8k-15k,消费生活 上市公司 2000人以上,经验3-5年 大专,“五险一金、周末双休、项目奖金、弹性工作”,直播 移动互联网 后端 服务器端 分布式 J2EE ,[高新开发区]
辰安信息,java开发,10k-15k·13薪,移动互联网 不需要融资 500-2000人,经验3-5年 本科,“上市公司，六险一金全额缴纳。稳定！”,Java ,[清和]
光华科技,微服务JAVA研发工程师,8k-13k,其他 未融资 50-150人,经验5-10年 本科,“弹性工作、五险一金、双休、免费午餐”,后端 Java 人脸识别 MySQL ,[南关区]
旭庄商务服务,java开发工程师（长春分公司）,3k-4k,移动互联网 / /,经验应届毕业生 大专,“java开发工程师”,Java ,[朝阳区]
一汽-大众,IT应用运维工程师（AMS）,15k-30k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,IT支持 Linux ,[汽车产业开发区]
中国一汽,IT开发工程师（后端技术）,10k-15k,汽车丨出行 未融资 2000人以上,经验3-5年 本科,“五险一金、班车、食堂、年底奖金”,物流 后端 ,[汽车产业开发区]
中国一汽,算法工程师,10k-11k,汽车丨出行 未融资 2000人以上,经验3-5年 本科,“五险一金、班车、食堂、年底奖金”,金融 人工智能 机器学习 深度学习 ,[经济开发区]
嘉诚瑞杰,研发总监,18k-24k·13薪,"数据服务,信息安全 上市公司 500-2000人",经验3-5年 本科,“五险一金，股权激励，带薪年假，节假日福利”,信息安全 大数据 技术管理 业务流程管理 架构师 系统架构 ,[高新开发区]
北京云族佳科技,前端开发工程师（长春）,8k-12k,"移动互联网,人工智能 B轮 50-150人",经验3-5年 本科,“五险一金 带薪年假 节假日福利”,汽车 前端开发 React native ,[绿园区]
好巴兔,web前端,3k-5k,其他 天使轮 15-50人,经验1-3年 大专,"“双休,交通补助,有活力,美女帅哥多”",移动端 ,[宽城区]
风直科技,golang开发工程师,6k-8k·14薪,物联网、企业服务 未融资 少于15人,经验不限 不限,“挑战自我”,Golang 全栈 数据库 服务器端 ,[高新开发区]
一汽-大众,车联网信息安全专家,50k-100k,体育 不需要融资 2000人以上,经验5-10年 本科,“薪酬福利，发展前景”,汽车 信息安全 技术管理 系统架构 安全专家 业务流程管理 ,[汽车产业开发区]
一汽-大众,软件工程师,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,后端 架构师 ,[汽车产业开发区]
一汽-大众,系统部署工程师,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,移动互联网 系统运维 ,[汽车产业开发区]
一汽-大众,数据及智能领域专家,50k-100k,体育 不需要融资 2000人以上,经验10年以上 本科,“薪酬福利，发展前景”,,[汽车产业开发区]
一汽-大众,数据开发工程师,20k-40k,体育 不需要融资 2000人以上,经验3-5年 本科,“薪酬福利，发展前景”,移动互联网 Spark Hadoop 数据挖掘 ,[汽车产业开发区]
