公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
阜极科技,资深java开发工程师,10k-18k,"移动互联网,金融 未融资 150-500人",经验3-5年 大专,“领导nice、发展潜力大、氛围棒棒”,后端 Java ,[高新区]
绿湾科技,Java开发工程师,8k-15k,"企业服务,数据服务 B轮 150-500人",经验3-5年 本科,"“高挑战,高待遇,高福利,高成长”",Java 后端 ,[杆石桥]
韦尔科技,java开发工程师,4k-8k,"移动互联网,数据服务 天使轮 50-150人",经验不限 本科,"“发展快速,扁平化管理,节日礼品,期权激励”",后端 ,[历城区]
齿轮易创,java开发工程师,10k-15k,"企业服务,移动互联网 A轮 50-150人",经验5-10年 大专,“大牛云集 扁平管理 飞速成长 晋升空间”,Java 后端 ,[历城区]
海息科技,java开发,5k-10k,其他 未融资 50-150人,经验1-3年 大专,"“高薪,交通便利,年轻活力,非外包”",J2EE Linux/Unix Java ,[长途汽车站]
海息科技,java开发工程师,8k-15k,其他 未融资 50-150人,经验3-5年 大专,“非外包、双屏显示器、餐厅、独立办公楼层”,J2EE Linux/Unix Java ,[长途汽车站]
浪潮通软,Java开发工程师,8k-13k,企业服务 上市公司 500-2000人,经验1-3年 本科,“良好的职业发展前途”,Java 后端 ,[市政府]
国瑞数码,JAVA开发工程师（济南）,8k-12k,信息安全 不需要融资 150-500人,经验不限 本科,"“五险一金,节日福利,弹性工作,餐补”",信息安全 MySQL Java ,[大明湖]
国瑞数码,高级java开发工程师,10k-15k,信息安全 不需要融资 150-500人,经验3-5年 本科,"“五险一金,节日福利,弹性工作,餐补”",信息安全 ,[大明湖]
北大医信,Java开发工程师（交付四部）,6k-8k,医疗丨健康 不需要融资 500-2000人,经验1-3年 本科,“五险一金；弹性工作；定期体检；餐补”,Java ,[市中区]
普元,java开发工程师,8k-15k,"企业服务,数据服务 不需要融资 500-2000人",经验1-3年 本科,“五险一金、带薪年假、项目稳定”,Java ,[历城区]
金现代,java开发工程师,5k-10k,"移动互联网,信息安全 上市公司 500-2000人",经验不限 本科,“职位晋升，动态岗级，周末双休”,企业服务 后端 ,[高新区]
金证股份,Java开发工程师（中泰联合研发中心）,10k-12k·13薪,金融 上市公司 2000人以上,经验3-5年 本科,“上市公司”,证券/期货 Java ,[市中区]
高新兴科技集团,JAVA开发工程师（济南）(J11085),11k-22k,"物联网,人工智能 上市公司 2000人以上",经验1-3年 本科,“工作氛围好 领导好相处”,信息安全 Java 全栈 ,[历下区]
浪潮软件,java/大数据开发工程师,11k-20k·14薪,数据服务 上市公司 2000人以上,经验3-5年 本科,“年终奖、六险一金”,企业服务 大数据 ETL Hadoop Java ,[高新区]
顶点软件,java开发工程师,7k-12k,"移动互联网,企业服务 上市公司 500-2000人",经验1-3年 本科,“金融科技、证券”,金融 Java 软件开发 ,[市中区]
眼神科技,Java开发（济南）,8k-15k,"数据服务,信息安全 不需要融资 50-150人",经验3-5年 本科,“人工智能 补充医疗 年度体检”,信息安全 云计算 Java MySQL 人脸识别 ,[高新区]
网新博创,java开发工程师,8k-15k·13薪,"企业服务,广告营销 不需要融资 500-2000人",经验3-5年 本科,“浙大网新”,Java ,[市中区]
浪潮通软,Java开发工程师,10k-17k,企业服务 上市公司 500-2000人,经验3-5年 本科,“七险一金、出国旅游、股票期权、每年调薪”,企业服务 ERP ,[历城区]
美迪康,java开发工程师,6k-12k,"医疗丨健康,移动互联网 B轮 50-150人",经验1-3年 本科,“五险一金 定期体检 周末双休”,医疗健康 移动互联网 Java 数据库 ,[高新区]
亚信,java开发工程师,11k-22k·13薪,"企业服务,移动互联网 上市公司 2000人以上",经验不限 本科,“13薪，年终奖，保险，各种福利”,数据库 docker Java 分布式 ,[槐荫区]
Veedoo,java开发工程师,8k-12k,"移动互联网,金融 未融资 150-500人",经验3-5年 本科,“饭补 周末双休”,Java ,[历城区]
普元,Java开发工程师,6k-9k·13薪,"企业服务,数据服务 不需要融资 500-2000人",经验1-3年 本科,“六险一金”,Java ,[历城区]
然茜信息,java中级开发工程师,8k-12k,"软件开发,物联网 不需要融资 15-50人",经验3-5年 本科,"“五险一金,绩效奖金”",信息安全 云计算 Java MySQL 后端 ,[高新区]
淘智客智能,高级JAVA开发,9k-17k·14薪,"企业服务,数据服务 未融资 50-150人",经验3-5年 本科,“技术大佬 稳定”,MySQL ,[高新区]
万宇大数据,java开发实习生,3k-6k,"通讯电子,软件开发 未融资 50-150人",经验应届毕业生 大专,“工作轻松提供住宿”,移动互联网 Java MySQL ,[市中区]
曙光照,java高级开发工程师,8k-10k,"软件开发,物联网 未融资 15-50人",经验3-5年 大专,“双休+绩效奖金+五险一金+员工福利”,.NET MySQL 数据库 云计算 ,[历下区]
软畅科技,Java开发工程师,8k-11k,软件开发 未融资 15-50人,经验3-5年 本科,“双休”,后端 Java ,[天桥区]
山东锋士,Java工程师,8k-12k·13薪,"数据服务,信息安全 不需要融资 150-500人",经验1-3年 本科,"“五险一金,双休,十三薪,体检”",Java ,[历城区]
智领云天,Java开发工程师,6k-8k,教育 未融资 少于15人,经验1-3年 本科,“你的才华会被尊重！”,Java MySQL ,[千佛山]
海看科技,java开发工程师,8k-15k,"移动互联网,文娱丨内容 A轮 150-500人",经验3-5年 本科,“全额社保、全额公积金、周末双休、节日福利”,后端 Java ,[历下区]
山东瀚岳智能科技股份有限公司,java开发工程师,5k-8k·13薪,"移动互联网,硬件 不需要融资 50-150人",经验1-3年 大专,“五险一金、节日福利、早九晚六”,Java ,[高新区]
博沃智慧,Java开发工程师,6k-12k,软件开发 未融资 150-500人,经验1-3年 大专,“五险一金，绩效奖金”,Java ,[历下区]
沃德尔,Java开发工程师,6k-12k,其他 未融资 15-50人,经验1-3年 大专,“产品理念新；市场前景大；五天工作制。”,Java ,[市中区]
诺码信,java开发工程师,5k-10k,软件开发 不需要融资 50-150人,经验不限 本科,“高薪资+双休+五险一金+完善福利+年终奖”,Java MySQL ,[高新区]
浪潮通软,Java开发工程师,10k-18k,企业服务 上市公司 500-2000人,经验3-5年 本科,“稳定 薪高 福利好 平台好 高端客户”,Java 全栈 Node.js ,[市政府]
九思软件,java开发工程师,6k-11k,"移动互联网,电商 未融资 50-150人",经验1-3年 本科,“餐补，年终奖，五险一金，定期团建”,后端 MySQL Java ,[高新区]
上海浪潮云计算服务有限公司,研发工程师（java/python/go/ C/C++）,9k-18k,"数据服务,移动互联网 不需要融资 500-2000人",经验3-5年 本科,“发展前景”,Golang Java Python C++ ,[高新区]
普朗特生物,Java开发工程师,8k-15k,医疗丨健康 上市公司 500-2000人,经验1-3年 本科,“出差补贴，周末双休”,Java Shell MySQL ,[历下区]
普元,Java开发实习生,3k-6k,"企业服务,数据服务 不需要融资 500-2000人",经验应届毕业生 本科,“优秀的团队，系统化的培养”,Java 后端 ,[历下区]
世纪开元,高级java工程师,9k-16k,"移动互联网,电商 A轮 500-2000人",经验3-5年 大专,“发展前景 稳定 双休”,电商 后端 Java Javascript J2EE ,[高新区]
浪潮,高级java开发工程师,10k-18k,"信息安全,硬件 上市公司 2000人以上",经验3-5年 本科,“500强”,Java ,[高新区]
new way,java工程师,6k-12k,"企业服务,数据服务 不需要融资 15-50人",经验1-3年 本科,"“五险,团队氛围好,补贴,团体活动”",后端 服务器端 Linux/Unix J2EE ,[高新区]
山东广电信通,JAVA开发工程师,9k-12k,"信息安全,移动互联网 不需要融资 150-500人",经验应届毕业生 本科,“环境优越 餐补 年终奖金 带薪年假 稳定”,后端 Java ,[历下区]
深圳市壹平台,java开发工程师,9k-12k,软件开发 未融资 150-500人,经验3-5年 大专,“周末双休 五险一金”,移动互联网 大数据 后端 分布式 ,[高新区]
中孚信息股份有限公司,java开发工程师,8k-13k·13薪,信息安全 上市公司 500-2000人,经验不限 本科,“周末双休、五险一金、带薪年假、股权激励”,信息安全 Java ,[高新区]
浪潮,Java开发工程师,10k-15k,"信息安全,硬件 上市公司 2000人以上",经验3-5年 本科,“准备好了吗？只要敢想肯干，一切皆有可能！”,Java 全栈 ,[历下区]
浪潮通软,java开发工程师,7k-13k,企业服务 上市公司 500-2000人,经验不限 本科,“产品级开发，不出差”,企业服务 ERP Java ,[市中区]
济南老猿信息技术有限...,Java开发工程师,4k-8k,移动互联网 A轮 50-150人,经验1-3年 大专,"“五险一金,年底双薪,国家节假日,多次调薪”",后端 Java MySQL ,[高新区]
国子软件,JAVA、C#、Android、IOS开发工程师,6k-8k,"移动互联网,其他 未融资 500-2000人",经验应届毕业生 本科,"“六险一金,岗前培训,解决落户,薪资待遇高”",C#/.NET Java ,[高新区]
恒道信息,Java开发工程师,8k-15k,移动互联网 不需要融资 150-500人,经验3-5年 大专,“五险一金周末双休加班工资13薪”,支付 J2EE Java ,[东门]
