公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
山西百信信息,python,4k-7k,企业服务 未融资 500-2000人,经验3-5年 本科,"“五险 餐补节日福利年终奖励双休
****”",信息安全 ,[小店区]
琪睿科技,python开发工程师,3k-6k,企业服务、教育 天使轮 少于15人,经验1-3年 本科,“具有很大创造性，实现人生价值”,教育 企业服务 Shell Node.js 全栈 图像识别 ,[晋源区]
深度好奇,测试工程师,5k-10k·13薪,"企业服务,数据服务 A轮 15-50人",经验不限 本科,"“周末双休,五险一金,年底双薪,扁平管理”",功能测试 接口测试 性能测试 Web测试 ,[小店区]
格蒂电力,实施工程师,8k-15k,企业服务 未融资 500-2000人,经验3-5年 大专,“上市公司，福利待遇优厚，职业发展空间广阔”,Oracle ETL Hadoop 数据仓库 ,[桥东]
格蒂电力,大数据工程师,8k-12k,企业服务 未融资 500-2000人,经验3-5年 本科,“上市公司，福利待遇优厚，职业发展空间广阔”,Oracle ETL Spark Hadoop ,[桥东]
深度好奇,后端研发工程师,12k-24k·13薪,"企业服务,数据服务 A轮 15-50人",经验不限 本科,“五险一金，周末双休，年底双休”,Golang Python docker ,[小店区]
初灵信息,linux运维工程师,5k-8k,"移动互联网,数据服务 上市公司 500-2000人",经验1-3年 大专,“弹性工作；六险一金；租房补助；午餐补贴”,运维 Linux ,[坞城]
山西特信环宇信息技术有限公司,中高级算法工程师,7k-10k,"移动互联网,企业服务 未融资 50-150人",经验1-3年 硕士,“双休五险”,即时通讯 云计算 分布式搜索 MATLAB Python 自然语言处理 ,[小店区]
东方国信,数据开发工程师,5k-8k·14薪,数据服务 上市公司 2000人以上,经验不限 本科,“年底双薪、14薪、定期体检、节日福利、带薪年假”,ETL 数据仓库 数仓建模 ,[万柏林区]
山西寰烁电子科技股份有限公司,运维工程师,6k-12k,教育 未融资 150-500人,经验3-5年 大专,“五险一金”,,[小店区]
小石小木,NLP自然语言处理研发工程师,4k-6k,"数据服务,人工智能 未融资 少于15人",经验应届毕业生 本科,“发展前景，薪资待遇，岗位培训”,大数据 人工智能 NLP ,[小店区]
筑龙信息,数据分析工程师,8k-12k,移动互联网 不需要融资 150-500人,经验3-5年 本科,“五险一金、双休、节日礼品、员工旅游”,数据分析 ,[小店区]
格蒂电力,数据架构师,10k-18k,企业服务 未融资 500-2000人,经验5-10年 大专,“上市公司，福利待遇优厚，职业发展空间广阔”,ETL 数据架构 Hadoop Oracle ,[桥东]
