公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
东方瑞创达,java开发工程师,7k-10k,"数据服务,其他 未融资 150-500人",经验1-3年 本科,“五险一金，带薪年假，餐补”,Java ,[省政府]
工大微识,java开发工程师,6k-9k,其他 未融资 15-50人,经验1-3年 本科,“五天半工作制 五险 交通补助 节日福利”,信息安全 大数据 后端 平台 人脸识别 ,[南岗区]
河北星泰,高级java开发工程师,7k-12k,软件开发 未融资 150-500人,经验3-5年 本科,“带薪培训、晋升机制明确”,Java MySQL ,[南岗区]
科佳通用机电,java开发工程师,9k-12k·14薪,"人工智能,硬件 未融资 150-500人",经验3-5年 本科,“五险一金 试用期全额 五星环境 免费工作餐”,Java ,[香坊区]
河北星泰,java开发工程师,6k-10k,软件开发 未融资 150-500人,经验1-3年 大专,“职位晋升机制明确”,,[南岗区]
泉尊电子科技,java开发工程师,7k-10k,"移动互联网,数据服务 未融资 50-150人",经验不限 本科,“Very Good!”,Java ,[南岗区]
五常市乔府大院农业股份有限公司,java工程师,6k-8k,其他 上市公司 500-2000人,经验1-3年 本科,“五险一金 绩效奖金 交通补助 食堂”,Java 数据库 ,[五常市]
泰德网聚,java工程师,6k-9k,"移动互联网,数据服务 不需要融资 50-150人",经验应届毕业生 本科,“五险一金 晚餐补”,Java C C++ ,[曲线]
渡一教育,java讲师,10k-20k,"移动互联网,教育 不需要融资 50-150人",经验3-5年 本科,“有成长，有挑战，技术驱动，只待优秀的你。”,教育 ,[学府]
万线科技,java开发工程师,6k-8k,"移动互联网,电商 不需要融资 2000人以上",经验3-5年 本科,“开放的团队氛围，给予足够的空间发挥能力”,电商 移动互联网 后端 Java 人脸识别 移动开发 ,[哈平路]
华脉智慧供热,Java研发工程师,5k-8k,"人工智能,软件开发 未融资 15-50人",经验不限 大专,“创业公司成长空间好”,Java 后端 数据库 ,[平房区]
大唐云智汇,Java大数据讲师,8k-12k,"移动互联网,教育 天使轮 15-50人",经验3-5年 本科,“独立项目制，骨干讲师可晋升合伙人”,教育 Java ,[南岗区]
未名信息,java中级开发工程师,8k-10k·13薪,"移动互联网,教育 不需要融资 50-150人",经验1-3年 本科,“五险一金、双休、13薪”,Java ,[新春]
卓创科技,中高级JAVA后端开发工程师,5k-8k,"软件开发,物联网 不需要融资 15-50人",经验3-5年 大专,“容易上手”,Java Hadoop ,[南岗区]
哈工智慧,研发总监（哈尔滨总部）,20k-30k,"人工智能,软件开发 未融资 150-500人",经验5-10年 本科,“优秀团队、良好氛围、有竞争力的薪酬制度”,工具软件 部门管理 技术管理 ,[哈西]
龙寰科技,校园大使,5k-8k,"信息安全,硬件 未融资 15-50人",经验不限 不限,“以结果为导向”,招聘 招聘 ,[南岗区]
字节指尖,android开发工程师,15k-25k,人工智能、物联网 不需要融资 少于15人,经验3-5年 本科,“五险一金、弹性工作、免费三餐、餐补”,工具软件 移动互联网 Android 移动端 ,[南岗区]
分形,高级开发工程师,8k-13k,"移动互联网,电商 不需要融资 150-500人",经验5-10年 本科,“五险一金、绩效奖金、弹性工作、定期体验”,PHP MySQL Java ,[南岗区]
科佳通用机电,软件测试工程师,8k-10k·14薪,"人工智能,硬件 未融资 150-500人",经验3-5年 本科,“五险一金 试用期全额 五星环境 免费工作餐”,功能测试 性能测试 系统测试 ,[香坊区]
河北星泰,开发工程师,6k-10k,软件开发 未融资 150-500人,经验1-3年 大专,“晋升机制明确，带薪培训”,Java MySQL ,[南岗区]
LTZC,Android工程师,4k-6k,移动互联网 不需要融资 15-50人,经验1-3年 大专,“有钱有项目有企业文化”,软件开发 ,[群力]
鹏博科技,前端开发工程师,6k-10k,"移动互联网,电商 未融资 150-500人",经验3-5年 本科,“双休法休五险节假日福利年终奖金零食下午茶”,前端开发 ,[新春]
耀世捷,ETL大数据开发,3k-5k,"数据服务,医疗丨健康 不需要融资 15-50人",经验1-3年 本科,“期待有实力的你加入”,大数据 ETL 数据仓库 Hadoop Java ,[文政]
碧茂大数据,大数据运维工程师,7k-12k,"移动互联网,数据服务 未融资 15-50人",经验3-5年 本科,“发展前景好”,Linux Hadoop ,[新春]
科佳通用机电,软件测试经理,12k-15k·14薪,"人工智能,硬件 未融资 150-500人",经验5-10年 本科,“五险一金 试用期全额 五星环境 免费工作餐”,测试管理 ,[香坊区]
