公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
群接龙,java工程师,12k-24k,"电商,社交 A轮 50-150人",经验3-5年 本科,“社区团购**小程序，发展快前景好”,电商 移动互联网 后端 ,[新港]
华资软件,高级Java开发工程师,10k-18k·14薪,"移动互联网,数据服务 上市公司 500-2000人",经验3-5年 本科,“大平台，六险一金，福利好，弹性上班”,企业服务 工具软件 后端 全栈 分布式 Java ,[棠下]
全球购骑士特权,高级Java开发工程师,15k-28k,电商 A轮 500-2000人,经验3-5年 本科,“五险一金 年底双薪 周末双休 境外旅游”,电商 后端 ,[天河区]
广州思迈特,java开发工程师,15k-18k,"企业服务,数据服务 B轮 150-500人",经验1-3年 本科,“专业导师、扁平管理、工作氛围轻松、六险一金”,Java 全栈 数据库 软件开发 ,[天河区]
广州思迈特,JAVA高级开发工程师,14k-17k,"企业服务,数据服务 B轮 150-500人",经验3-5年 不限,"“领导好,福利多多,员工旅游,六险一金”",大数据 Ruby MySQL ,[天河区]
太空风,高级java开发工程师,11k-20k,其他 不需要融资 50-150人,经验3-5年 大专,“前景好 团队年轻”,Java ,[海珠区]
赞赏,java高级开发工程师,15k-25k·14薪,移动互联网 A轮 150-500人,经验5-10年 本科,“14薪 午餐晚餐下午茶”,工具软件 移动互联网 Java 后端 ,[天河区]
快乐种子,高级java开发工程师,15k-25k,"教育,游戏 B轮 2000人以上",经验5-10年 本科,“周末双休、五险一金”,教育 ,[岭南]
修炼,java工程师,12k-20k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“五险一金 周末双休 交通便利”,Java 后端 ,[石牌]
虫鸣创新,java,9k-12k,软件开发 未融资 150-500人,经验3-5年 大专,“双休 六险一金 加班少 福利多”,,[白云区]
星链购,java高级开发工程师,10k-15k,电商 未融资 50-150人,经验5-10年 本科,“爱上星链购”,Java 后端 数据库 软件开发 ,[五山]
赞赏,java开发工程师,11k-18k·14薪,移动互联网 A轮 150-500人,经验1-3年 本科,“五险一金 工作餐 年终奖 项目奖金”,企业服务 直播 Java 后端 ,[天河区]
金科文化,java开发工程师,8k-15k·13薪,移动互联网 上市公司 150-500人,经验3-5年 本科,“六险一金，包两餐”,Java ,[东圃]
清风科技,高级JAVA开发工程师,20k-30k·13薪,移动互联网 不需要融资 50-150人,经验5-10年 本科,"“年底双薪,五险一金，地铁周边”",即时通讯 社交 Java 后端 架构师 分布式 ,[越秀区]
信创电子,Java高级开发工程师,20k-30k,"电商,企业服务 不需要融资 50-150人",经验5-10年 本科,“高技术的团队，年轻的工作伙伴”,Java ,[海珠区]
洋葱集团,中级Java开发工程师（数据方向）,10k-15k·13薪,"移动互联网,电商 C轮 500-2000人",经验3-5年 大专,“平台大 前景佳”,电商 新零售 Java MySQL ,[天河区]
设计院,java开发工程师,10k-15k·13薪,"移动互联网,金融 上市公司 2000人以上",经验1-3年 本科,“重点项目、周末双休、国企大平台”,Java 后端 分布式 ,[天河区]
