公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
九派数据,数据库开发工程师,8k-12k,"移动互联网,数据服务 未融资 15-50人",经验3-5年 本科,"“核心,五险一金,绩效奖金,双休,员工旅游”",数据库开发 MySQL Oracle SQLServer ,[高新技术产业开发区]
西安瑞蓝创软件科技有限公司,数据库DBA开发,11k-20k·13薪,"企业服务,软件开发 未融资 50-150人",经验3-5年 本科,“发展前景好 福利待遇好 提升空间大”,DBA 数据库开发 ,[高新技术产业开发区]
易宝软件科技（南京）有限公司,数据库开发工程师/网规网优,10k-18k,移动互联网 上市公司 150-500人,经验3-5年 本科,“五险一金 双休 晋升空间大 氛围nice”,,[高新技术产业开发区]
崤云安全,高级dba,8k-16k,信息安全 不需要融资 50-150人,经验3-5年 大专,“六险一金、提供食宿、年底双薪、免费茶饮”,信息安全 移动互联网 Oracle MySQL SQLServer ,[高新技术产业开发区]
中华财险南方创新研发中心,数据库DBA【西安】,12k-20k,金融 / /,经验5-10年 本科,“六险二金、完善的福利体制”,保险 DBA ,[高新技术产业开发区]
西安华为技术有限公司,云数据库开发测试工程师,15k-25k,"数据服务,硬件 不需要融资 2000人以上",经验3-5年 本科,“工作稳定，成长快”,大数据 云计算 Java Python 数据库 云计算 ,[雁塔区]
西部机场集团悦泰科技公司,数据库开发工程师,7k-11k,"移动互联网,电商 未融资 50-150人",经验3-5年 本科,"“五险一金,带薪年休假、节日福利、员工体检”",MySQL Oracle ,[高新技术产业开发区]
云和恩墨,数据库开发工程师,6k-7k·13薪,数据服务 不需要融资 500-2000人,经验应届毕业生 本科,“行业领先 持续盈利 团队nice 福利多多”,年底双薪 技能培训 节日礼物 带薪年假 ,[高新技术产业开发区]
华为西安,华为云数据库开发、测试岗位。,15k-30k,移动互联网 不需要融资 2000人以上,经验不限 本科,“业界领先的云数据库内核”,云计算 数据库开发 ,[高新技术产业开发区]
西安华为技术有限公司,数据库内核开发,18k-30k,"数据服务,硬件 不需要融资 2000人以上",经验不限 本科,“自研数据库”,云计算 大数据 C C++ 内核开发 数据库 ,[雁塔区]
安畅网络,DBA工程师,8k-12k,"电商,数据服务 上市公司 150-500人",经验3-5年 大专,“双休，五险一金，年终奖，定期体检，团建”,DBA 运维 ,[雁塔区]
上海易宝,数据库开发工程师,9k-15k,移动互联网 未融资 150-500人,经验3-5年 本科,“五险一金 双休 晋升空间大 氛围nice”,ETL MySQL Oracle 数据库开发 ,[高新技术产业开发区]
迈道科技,DBA工程师,18k-20k,"企业服务,信息安全 不需要融资 15-50人",经验5-10年 本科,“领导nice”,DBA Oracle ,[雁塔区]
步峰信息,Java开发,6k-12k,"移动互联网,企业服务 不需要融资 50-150人",经验1-3年 本科,“办公环境优雅，氛围轻松，位置交通便利。”,Java ,[高新技术产业开发区]
西安点通软件,Java开发工程师,3k-5k,移动互联网 未融资 15-50人,经验1年以下 本科,“五险一金、周末双休、年终奖金、绩效奖金”,移动互联网 工具软件 Java 软件开发 ,[雁塔区]
贝海网络,Java开发工程师（西安）,10k-17k·15薪,电商 C轮 500-2000人,经验3-5年 本科,“外企、福利待遇好”,电商 新零售 Java ,[雁塔区]
东华,java开发工程师,8k-15k,"企业服务,数据服务 上市公司 2000人以上",经验1-3年 本科,“上市公司、五险一金、年终奖、弹性工作制”,Java ,[高新技术产业开发区]
华通西安,中级软件开发工程师,8k-13k,软件开发 未融资 50-150人,经验不限 本科,“平台好，前景好，团队优秀有朝气”,Java ,[雁塔区]
易宝软件科技（南京）有限公司,java开发工程师,11k-20k,移动互联网 上市公司 150-500人,经验应届毕业生 本科,“五险一金，双倍薪资，餐补，报销打车费”,Java ,[高新技术产业开发区]
数科网维,实施工程师,5k-10k·13薪,企业服务 未融资 150-500人,经验1-3年 本科,“团建、年度旅游、年终奖、项目奖、弹性办公”,实施 Linux Java ,[高新技术产业开发区]
翼课网,PHP研发工程师,7k-12k,"移动互联网,教育 不需要融资 500-2000人",经验1-3年 本科,“朝阳行业，周末双休，年终奖金”,移动互联网 Shell PHP Javascript ,[郭杜]
西安英兆软件,PHP软件工程师,6k-10k,"移动互联网,电商 未融资 50-150人",经验1-3年 大专,“五险一金+双休”,MySQL Shell Hadoop PHP ,[唐延路]
安居客,高级/资深PHP开发工程师,13k-25k,移动互联网 上市公司 500-2000人,经验不限 本科,"“技术牛,弹性时间,发展通道”",MySQL PHP ,[文艺路]
盛安德西安第一分公司,自动化测试工程师,9k-14k,"移动互联网,企业服务 未融资 15-50人",经验不限 不限,“五险一金，周末双休，餐补等等”,Jmeter Selenium ,[高新技术产业开发区]
智多兴,java开发工程师,12k-16k,移动互联网 未融资 50-150人,经验5-10年 本科,“福利待遇好。发展前景好”,汽车 大数据 后端 ,[雁塔区]
红茶移动,Java开发工程师(西安),10k-15k,移动互联网 B轮 50-150人,经验3-5年 本科,"“精英团队,硅谷模式”",后端 Java 平台 ,[雁塔区]
司顺电子商务,高级java开发工程师,10k-15k,电商 不需要融资 500-2000人,经验5-10年 本科,“五险一金，行业大牛”,电商 后端 Java ,[西关]
司顺电子商务,中级java开发工程师,8k-13k·13薪,电商 不需要融资 500-2000人,经验3-5年 本科,“行业大牛 美女如云”,电商 Java ,[西关]
易流,c++开发工程师,8k-13k·13薪,移动互联网 不需要融资 500-2000人,经验1-3年 大专,“物联网”,C++ ,[高新技术产业开发区]
易流,Java开发工程师（好多车）,8k-15k,移动互联网 不需要融资 500-2000人,经验1-3年 本科,“物联网”,物流 Java ,[雁塔区]
晟思智能,C#软件开发工程师（代码）,8k-12k,硬件 未融资 15-50人,经验1-3年 不限,"“五险一金,年终奖金,快速成长,发展空间”",Wpf C#/.NET ,[西安国家民用航天产业基地]
晟思智能,C#软件开发工程师（代码）,8k-15k,硬件 未融资 15-50人,经验3-5年 不限,"“五险一金,年终奖金,快速成长,发展空间”",Wpf C#/.NET ,[西安国家民用航天产业基地]
步峰信息,java开发工程师,10k-15k,"移动互联网,企业服务 不需要融资 50-150人",经验1-3年 本科,“项目好，长期稳定，薪资高，五险一金，双休”,移动互联网 ,[雁塔区]
蝉鸣,高级java开发工程师,13k-25k·14薪,"教育,移动互联网 A轮 150-500人",经验5-10年 本科,“高速发展 股票期权”,教育 企业服务 Java ,[高新技术产业开发区]
金数据,高级Java开发工程师（金数据西安）,15k-25k,企业服务 不需要融资 50-150人,经验5-10年 本科,“扁平化管理 领导nice Mac高配 福利齐全”,企业服务 Java ,[高新技术产业开发区]
千帆竞发,java中级开发工程师,8k-13k·13薪,"金融,数据服务 不需要融资 50-150人",经验应届毕业生 本科,“工作氛围好，大牛带队”,MySQL Java 爬虫 ,[高新技术产业开发区]
上海中软华腾软件系统有限公司,java开发工程师,10k-18k,"企业服务,金融 上市公司 2000人以上",经验3-5年 本科,“带薪年假”,MySQL JS 数据库 ,[雁塔区]
快搜,golang开发工程师,15k-30k,"移动互联网,社交 不需要融资 15-50人",经验3-5年 本科,“五险一金”,大数据 搜索 数据抓取 数据采集 Golang ,[高新技术产业开发区]
快搜,爬虫工程师,15k-30k,"移动互联网,社交 不需要融资 15-50人",经验1-3年 本科,“五险一金，带薪假期”,大数据 MongoDB MySQL ,[高新技术产业开发区]
Huatek,.Net开发工程师,5k-10k,"电商,移动互联网 未融资 150-500人",经验1-3年 本科,"“双休,五险一金,公司旅游,年假”",软件开发 ,[高新技术产业开发区]
