公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
空谷kgu,PHP开发工程师,6k-10k,"移动互联网,电商 未融资 15-50人",经验1-3年 本科,"“晋升空间,学习挑战,高绩效薪酬,弹性工作”",企业服务 招聘 后端 MySQL JS PHP ,[独墅湖]
梦之岛,php开发工程师,7k-13k,软件开发 未融资 少于15人,经验3-5年 大专,“提供好的平台及机会”,PHP MySQL ,[相城区]
臻顺云,php程序员,10k-20k,"软件开发,电商 不需要融资 15-50人",经验3-5年 不限,“除了五险一金、双休、各种补贴，还有轻松的氛围”,电商 物流 PHP ,[昆山市]
布瑞克信息,php高级工程师,12k-15k,其他 C轮 50-150人,经验3-5年 本科,“PHP 五险一金 双休 薪资待遇好”,PHP ,[相城区]
什伯智能,后端开发工程师（PHP）,8k-10k,"移动互联网,企业服务 不需要融资 15-50人",经验应届毕业生 大专,“清华技术带队、团队氛围好”,PHP ,[昆山市]
上海薇艾,PHP高级开发工程师,10k-15k,旅游、社交 未融资 15-50人,经验1-3年 本科,“正常班7.5H 双休 加班费 五险一金 车补饭补”,旅游 社交 PHP C++ ,[昆山市]
超娱互动,php后端,8k-12k,游戏 未融资 15-50人,经验1-3年 大专,“公司平台发展好 团队氛围好 加班少”,PHP MySQL ,[娄葑]
欧瑞思丹,php开发工程师,10k-15k,电商 A轮 50-150人,经验3-5年 本科,“扁平管理”,PHP ,[独墅湖]
绿网环境保护服务中心(NGO),PHP工程师,6k-12k,"数据服务,其他 不需要融资 15-50人",经验不限 本科,"“六险一金,双休,弹性工作,靠近地铁”",MySQL Yii PHP Web前端 ,[木渎]
英智云,php开发工程师,10k-15k,软件开发、数据服务 不需要融资 15-50人,经验3-5年 大专,“给你未来挑战的平台和征服的欲望”,移动互联网 工具软件 ,[苏州工业园区]
八九十科技,php开发工程师,3k-4k·13薪,"教育,软件开发 未融资 少于15人",经验不限 大专,“创业团队，可以带。”,教育 工具软件 PHP 后端 ,[工业园区]
上海正事金融,php开发工程师,8k-13k·15薪,金融 B轮 150-500人,经验1-3年 大专,“外资、作息规律”,PHP MySQL 分布式 ,[工业园区]
大禹网络,PHP开发工程师,6k-10k,移动互联网 不需要融资 150-500人,经验1-3年 本科,“双休，六险一金，弹性工作，年终奖”,后端 PHP ,[工业园区]
奇鑫网络,php开发,4k-8k,"企业服务,数据服务 未融资 15-50人",经验1-3年 大专,“团队和睦，项目多”,PHP MySQL 后端 软件开发 ,[相城区]
昆山微远,.net开发工程师,10k-15k,"游戏,其他 未融资 150-500人",经验3-5年 本科,“五险一金 年终奖 旅游 2次加薪”,移动互联网 ,[昆山市]
万店掌,web前端开发工程师,10k-20k,移动互联网 A轮 50-150人,经验3-5年 本科,“大牛办公氛围”,前端开发 Web前端 ,[高新区]
凌志软件,高级软件开发工程师/项目经理,12k-20k·13薪,金融 上市公司 2000人以上,经验5-10年 本科,“五险一金 节日福利 带薪休假”,后端 ,[吴中区]
凌志软件,高级java开发工程师（苏州）,10k-20k,金融 上市公司 2000人以上,经验5-10年 不限,“上市公司，待遇优渥”,后端 ,[吴中区]
360,工控安全攻防专家,30k-60k,信息安全 上市公司 2000人以上,经验5-10年 本科,“大型互联网公司”,Python ,[工业园区]
Aunbox,高级前端开发工程师,14k-24k,移动互联网 未融资 150-500人,经验3-5年 本科,“发展前景好，福利待遇佳”,电商 工具软件 前端开发 ,[独墅湖]
博云,WEB前端工程师,5k-7k,"移动互联网,企业服务 B轮 150-500人",经验应届毕业生 本科,“六险一金，年度旅游体检，补助，带薪培训”,云计算 ,[工业园区]
布瑞克信息,Java高级工程师,15k-20k,其他 C轮 50-150人,经验5-10年 本科,“双休 五险一金”,Java ,[元和]
布瑞克信息,前端高级工程师,15k-20k,其他 C轮 50-150人,经验3-5年 本科,“双休 五险一金 全勤奖 独角兽”,前端开发 Vue ,[相城区]
上海薇艾,高级开发工程师,10k-15k,旅游、社交 未融资 15-50人,经验1-3年 本科,“双休 五险一金 双休 车补饭补 正常班7.5H”,旅游 社交 C++ PHP ,[昆山市]
思必驰科技,信息系统架构师,15k-30k·13薪,企业服务 D轮及以上 150-500人,经验5-10年 本科,“语音独角兽公司，E轮”,架构师 ,[独墅湖]
声通科技,研发技术总监,18k-22k·13薪,数据服务 不需要融资 15-50人,经验5-10年 本科,“团建，旅游，程序员节日，生日活动等”,教育 移动互联网 系统架构 ,[工业园区]
声通科技,后端架构师,16k-22k·13薪,数据服务 不需要融资 15-50人,经验5-10年 本科,“负责整个技术团队，期权股票”,教育 架构师 部门管理 技术管理 业务流程管理 ,[工业园区]
苏小研,系统集成工程师 （部署实施）(J10424),20k-30k,移动互联网 不需要融资 500-2000人,经验3-5年 本科,“五险一金、交通补贴、餐饮补贴、通讯补贴”,Linux Shell Python ,[高新区]
昆山微远,前端开发工程师,10k-15k,"游戏,其他 未融资 150-500人",经验3-5年 大专,“周末双休，国内外旅游”,移动端 前端开发 Web前端 ,[昆山市]
万店掌,软件测试工程师,8k-16k,移动互联网 A轮 50-150人,经验3-5年 本科,"“带教,进步,团队,福利”",信息安全 移动互联网 测试 移动端 ,[高新区]
慧盾安全,Linux C高级开发工程师,15k-22k·14薪,信息安全 A轮 50-150人,经验3-5年 本科,“创业团队，安全行业独角兽，拟上市公司”,C C++ ,[独墅湖]
博云,WEB前端工程师,5k-7k,"移动互联网,企业服务 B轮 150-500人",经验应届毕业生 本科,“六险一金，年度旅游体检，补助，带薪培训”,云计算 前端开发 Web前端 HTML ,[工业园区]
问卷网@爱调研,python开发工程师,10k-16k·13薪,移动互联网 C轮 150-500人,经验1-3年 本科,“职位晋升 节日福利 五险一金 水果零食”,Python ,[工业园区]
起飞页,高级web前端开发工程师,10k-18k,"电商,企业服务 不需要融资 15-50人",经验3-5年 本科,“方向明确，技术前景好，管理人性化”,工具软件 前端开发 Web前端 Javascript HTML5 ,[李公堤]
营米科技,程序工程师,5k-8k,文娱丨内容 未融资 15-50人,经验1-3年 大专,“五险一金，团队氛围好，小伙伴nice”,CSS HTML Web前端 ,[李公堤]
问卷网@爱调研,资深python开发工程师,15k-30k,移动互联网 C轮 150-500人,经验5-10年 本科,“中大型客户群体 大客户代表 晋升空间大”,移动互联网 Python 分布式 服务器端 客户端 ,[独墅湖]
东湾信息,Python工程师,10k-20k,"移动互联网,企业服务 不需要融资 50-150人",经验1-3年 本科,“五险一金”,Python ,[工业园区]
确安工业服务,技术合伙人,8k-15k,"企业服务,软件开发 未融资 少于15人",经验不限 本科,“开创一体化工业互联网服务”,企业服务 ,[娄葑]
江苏智沃,web前端开发工程师,6k-12k·14薪,移动互联网 不需要融资 15-50人,经验1-3年 大专,“弹性工作、团队氛围好”,前端开发 Web前端 Vue ,[娄葑]
壹佰伍拾亿,.net开发工程师,9k-13k·13薪,"广告营销,物联网 天使轮 50-150人",经验3-5年 本科,“朝阳产业”,广告营销 大数据 .NET ,[工业园区]
确安工业服务,软件工程师,6k-12k,"企业服务,软件开发 未融资 少于15人",经验应届毕业生 不限,“开创一体化工业互联网服务”,移动互联网 前端开发 移动端 ,[娄葑]
凌志软件,项目经理（对日软件开发）,15k-20k·14薪,金融 上市公司 2000人以上,经验5-10年 大专,“股权激励”,高级技术管理 团队建设 领导力 ,[吴中区]
声通科技,软件架构师,16k-25k,数据服务 不需要融资 15-50人,经验5-10年 本科,“薪资待遇，发展前景”,架构师 技术管理 ,[独墅湖]
